question,answer
11) What is the concept of reentrancy?,"['It is a very useful memory saving technique that is used for multi-programmed time sharing systems. It provides functionality that multiple users can share a single copy of program during the same period.', 'It has two key aspects:', '- The program code cannot modify itself.\n- The local data for each user process must be stored separately.']"
12) What is the difference between process and program?,['A program while running or executing is known as a process.']
13) What is the use of paging in operating system?,['Paging is used to solve the external fragmentation problem in operating system. This technique ensures that the data you need is available as quickly as possible.']
14) What is the concept of demand paging?,"[""Demand paging specifies that if an area of memory is not currently being used, it is swapped to disk to make room for an application's need.""]"
15) What is the advantage of a multiprocessor system?,"['As many as processors are increased, you will get the considerable increment in throughput. It is cost effective also because they can share resources. So, the overall reliability increases.']"
16) What is virtual memory?,['Virtual memory is a very useful memory management technique which enables processes to execute outside of memory. This technique is especially used when an executing program cannot fit in the physical memory.']
17) What is thrashing?,"['Thrashing is a phenomenon in virtual memory scheme when the processor spends most of its time in swapping pages, rather than executing instructions.']"
18) What are the four necessary and sufficient conditions behind the deadlock?,"['These are the 4 conditions:', '1) Mutual Exclusion Condition: It specifies that the resources involved are non-sharable.', '2) Hold and Wait Condition: It specifies that there must be a process that is holding a resource already allocated to it while waiting for additional resource that are currently being held by other processes.', '3) No-Preemptive Condition: Resources cannot be taken away while they are being used by processes.', '4) Circular Wait Condition: It is an explanation of the second condition. It specifies that the processes in the system form a circular list or a chain where each process in the chain is waiting for a resource held by next process in the chain.']"
19) What is a thread?,"['A thread is a basic unit of CPU utilization. It consists of a thread ID, program counter, register set and a stack.']"
20) What is FCFS?,"['FCFS stands for First Come, First Served. It is a type of scheduling algorithm. In this scheme, if a process requests the CPU first, it is allocated to the CPU first. Its implementation is managed by a FIFO queue.']"
21) What is SMP?,"['SMP stands for Symmetric MultiProcessing. It is the most common type of multiple processor system. In SMP, each processor runs an identical copy of the operating system, and these copies communicate with one another when required.']"
22) What is RAID? What are the different RAID levels?,"['RAID stands for Redundant Array of Independent Disks. It is used to store the same data redundantly to improve the overall performance.', 'Following are the different RAID levels:', 'RAID 0 - Stripped Disk Array without fault tolerance', 'RAID 1 - Mirroring and duplexing', 'RAID 2 - Memory-style error-correcting codes', 'RAID 3 - Bit-interleaved Parity', 'RAID 4 - Block-interleaved Parity', 'RAID 5 - Block-interleaved distributed Parity', 'RAID 6 - P+Q Redundancy']"
23) What is deadlock? Explain.,['Deadlock is a specific situation or condition where two processes are waiting for each other to complete so that they can start. But this situation causes hang for both of them.']
24) Which are the necessary conditions to achieve a deadlock?,"['There are 4 necessary conditions to achieve a deadlock:', '- Mutual Exclusion: At least one resource must be held in a non-sharable mode. If any other process requests this resource, then that process must wait for the resource to be released.\n- Hold and Wait: A process must be simultaneously holding at least one resource and waiting for at least one resource that is currently being held by some other process.\n- No preemption: Once a process is holding a resource ( i.e. once its request has been granted ), then that resource cannot be taken away from that process until the process voluntarily releases it.\n- Circular Wait: A set of processes { P0, P1, P2, . . ., PN } must exist such that every P[ i ] is waiting for P[ ( i + 1 ) % ( N + 1 ) ].']"
25) What is Banker's algorithm?,"[""Banker's algorithm is used to avoid deadlock. It is the one of deadlock-avoidance method. It is named as Banker's algorithm on the banking system where bank never allocates available cash in such a manner that it can no longer satisfy the requirements of all of its customers.""]"
26) What is the difference between logical address space and physical address space?,['Logical address space specifies the address that is generated by CPU. On the other hand physical address space specifies the address that is seen by the memory unit.']
27) What is fragmentation?,['Fragmentation is a phenomenon of memory wastage. It reduces the capacity and performance because space is used inefficiently.']
28) How many types of fragmentation occur in Operating System?,"['There are two types of fragmentation:', '- Internal fragmentation: It is occurred when we deal with the systems that have fixed size allocation units.\n- External fragmentation: It is occurred when we deal with systems that have variable-size allocation units.']"
29) What is spooling?,"['Spooling is a process in which data is temporarily gathered to be used and executed by a device, program or the system. It is associated with printing. When different applications send output to the printer at the same time, spooling keeps these all jobs into a disk file and queues them accordingly to the printer.']"
30) What is the difference between internal commands and external commands?,['Internal commands are the built-in part of the operating system while external commands are the separate file programs that are stored in a separate folder or directory.']
31) What is semaphore?,"['Semaphore is a protected variable or abstract data type that is used to lock the resource being used. The value of the semaphore indicates the status of a common resource.', 'There are two types of semaphore:', '- Binary semaphores\n- Counting semaphores']"
32) What is a binary Semaphore?,['Binary semaphore takes only 0 and 1 as value and used to implement mutual exclusion and synchronize concurrent processes.']
33) What is Belady's Anomaly?,"[""Belady's Anomaly is also called FIFO anomaly. Usually, on increasing the number of frames allocated to a process virtual memory, the process execution is faster, because fewer page faults occur. Sometimes, the reverse happens, i.e., the execution time increases even when more frames are allocated to the process. This is Belady's Anomaly. This is true for certain page reference patterns.""]"
34) What is starvation in Operating System?,"['Starvation is Resource management problem. In this problem, a waiting process does not get the resources it needs for a long time because the resources are being allocated to other processes.']"
35) What is aging in Operating System?,['Aging is a technique used to avoid the starvation in resource scheduling system.']
36) What are the advantages of multithreaded programming?,"['A list of advantages of multithreaded programming:', '- Enhance the responsiveness to the users.\n- Resource sharing within the process.\n- Economical\n- Completely utilize the multiprocessing architecture.']"
37) What is the difference between logical and physical address space?,"['Logical address specifies the address which is generated by the CPU whereas physical address specifies to the address which is seen by the memory unit.', 'After fragmentation']"
38) What are overlays?,['Overlays makes a process to be larger than the amount of memory allocated to it. It ensures that only important instructions and data at any given time are kept in memory.']
39) When does trashing occur?,['Thrashing specifies an instance of high paging activity. This happens when it is spending more time paging instead of executing.']
40) What is a Batch Operating System?,"['Batch Operating System is a type of Operating System which creates Batches for the execution of certain jobs or processes.', 'The Batches contains jobs of such a kind that the jobs or processes which are very similar in the procedure to be followed by the jobs or processes. The Batch Operating System has an operator which performs these tasks.', 'An operator groups together comparable jobs or processes that have the same criteria into batches. The operator is in charge and takes up the job of grouping jobs or processes with comparable requirements.', 'Batch Operating System follows First Come First Serve principle.']"
41) Do the Batch Operating System interact with Computer for processing the needs of jobs or processes required?,"['No, this is not that kind of Operating Systems which tries to interact with the computer. But, this job is taken up by the Operator present in the Batch Operating Systems.']"
42) What are the advantages of Batch Operating System?,"['Advantages of Batch Operating System:', '- The time which the Operating System is at rest is very small or also known as Idle Time for the Operating System is very small.\n- Very big tasks can also be managed very easily with the help of Batch Operating Systems\n- Many users can use this Batch Operating Systems.\n- It is incredibly challenging to estimate or determine how long it will take to finish any task. The batch system processors are aware of how long a work will take to complete when it is in line.']"
43) What are the disadvantages of Batch Operating System?,"['Disadvantages of Batch Operating System:', '- If any work fails in the Batch Operating System, the other jobs will have to wait for an indeterminate period of time.\n- Batch Operating systems are very challenging to debug,\n- Batch Operating Systems can be expensive at times\n- The computer operators who are using Batch Operating Systems must to be knowledgeable with batch systems.']"
44) Where is Batch Operating System used in Real Life,['They are used in Payroll System and for generating Bank Statements.']
45) What is the Function of Operating System?,"['The most important functions of Operating Systems are:', '- File Management\n- Job Management\n- Process Management\n- Device Management\n- Memory Management']"
46) What are the Services provided by the Operating System?,"['The services provided by the Operating Systems are:', '- Security to your computer\n- Protects your computer from external threats\n- File Management\n- Program Execution\n- Helps in Controlling Input Output Devices\n- Useful in Program Creation\n- Helpful in Error Detection\n- Operating System helps in communicating between devices\n- Analyzes the Performance of all devices']"
47) What is a System Call in Operating Systems?,"['Programs can communicate with the operating system by making a system call. When a computer application requests anything from the kernel of the operating system, it performs a system call.System call uses Application Programming Interfaces(API)to deliver operating system services to user programs']"
48) What are the Types of System Calls in Operating Systems?,"['The System Calls in Operating Systems are:', '- Communication\n- Information Maintenance\n- File Management\n- Device Management\n- Process Contro']"
49) What are the functions which are present in the Process Control and File Management System Call?,"['The Functions present in Process Control System Calls are:', '- Create\n- Allocate\n- Abort\n- End\n- Terminate\n- Free Memory']"
50) What are the functions which are present in the File Management System Call?,"['The Functions present in File Management System Calls are:', '- Create\n- Open\n- Read\n- Close\n- Delete']"
51) What is a Process in Operating Systems?,"['A process is essentially software that is being run on the Operating System. The Process is a Procedure which must be carried out in a sequential manner.', 'The fundamental unit of work that has to be implemented in the system is called a process.', 'An active program known as a process is the basis of all computing. Although relatively similar, the method is not the same as computer code. A process is a ""active"" entity, in contrast to the program, which is sometimes thought of as some sort of ""passive"" entity.']"
52) What are the types of Processes in Operating Systems?,"['The types of Operating System processes are:', '- Operating System Process\n- User Process']"
53) What is Process Control Block (PCB)?,"['A data structure called a Process Control Block houses details about the processes connected to it. The term ""process control block"" can also refer to a ""task control block,"" ""process table entry,"" etc.', ""As data structure for processes is done in terms of the Process Control Block (PCB), it is crucial for process management. Additionally, it describes the operating system's present condition.""]"
54) What are the Data Items in Process Control Block?,"['The Data Items in Process Control Block are:', '- Process State\n- Process Number\n- Program Counter\n- Registers\n- Memory Limits\n- List of Open Files']"
55) What are the Files used in the Process Control Block?,"['The Files used in Process Control Block are:', '- Central Processing Unit (CPU) Scheduling Information\n- Memory Management Information\n- Accounting Information\n- Input Output Status Information']"
56) What are the differences between Thread and Process,[]
57) What are the advantages of Threads in Operating Systems?,"['The advantages of Threads in Operating System are:', '- Threads are executed very faster than Switches\n- Threads ensure that the communication between threads are very easier\n- The Throughput of the system is increased if the process is divided into multiple threads\n- When a thread in a multi-threaded process completes its execution, its output can be returned right away.']"
58) What are the disadvantages of Threads in Operating Systems?,"['The disadvantages of Threads in Operating System are:', '- The code becomes more challenging to maintain and debug as there are more threads.\n- The process of creating threads uses up system resources like memory and CPU.\n- Because unhandled exceptions might cause the application to crash, we must manage them inside the worker method.']"
59) What are the types of Threads in Operating System?,"['The types of Threads in Operating System are:', '- User Level Threads\n- Kernel Level Threads']"
60) What is User Kernel Thread?,"['The kernel is unaware of the user-level threads since they are implemented at the user level.', 'They are treated like single-threaded processes under this system. User Kernel Threads are smaller and quicker than kernel-level threads', 'The User Kernel Threads are represented by a Small Process Control Block (PCB), Stack, Program Counter (PC), Stack.', 'Here, the User Kernel Threads are independent of Kernel Involvement in Synchronization.']"
61) What are User Kernel Threads Advantages and Disadvantages?,"['The following are a few advantages of User Kernel Threads:', '- Creating user-level threads is quicker and simpler than creating kernel-level threads. They are also simpler to handle.\n- Any operating system may be used to execute user-level threads.\n- Thread switching in user-level threads does not need kernel mode privileges.', 'The following are a few drawbacks of User Kernel Threads:', '- Multiprocessing cannot be used effectively by multithreaded applications in user-level threads.\n- If one user-level thread engages in a blocking action, the entire process is halted.']"
62) What is Kernel Level Thread?,"[""Kernel Level Threads are the threads which are handled by the Operating System directly. The kernel controls both the process's threads and the context information for each one. As a result, kernel-level threads execute more slowly than user-level threads.""]"
63) What are Kernel Level Threads Advantages and Disadvantages?,"['The following are some benefits of using kernel-level threads:', '- Kernel-level threads allow the scheduling of many instances of the same process across several CPUs.\n- The kernel functions also support multithreading.\n- Another thread of the same process may be scheduled by the kernel if a kernel-level thread is stalled.', 'The following list includes several drawbacks of kernel-level threads:', '- To pass control from one thread in a process to another, a mode switch to kernel mode is necessary.\n- Compared to user-level threads, kernel-level threads take longer to create and maintain.']"
64) What is Process Scheduling In Operating Systems?,"['The task of the process manager that deals with removing the active process from the CPU and choosing a different process based on a certain strategy is known as process scheduling.', 'An integral component of a multiprogramming operating system is process scheduling. Such operating systems provide the simultaneous loading of numerous processes into the executable memory, each of which utilizes temporal multiplexing to share the CPU.']"
65) What are types of Process Scheduling Techniques in Operating Systems?,"['The types of Process Scheduling Techniques in Operating Systems are:', '- Pre Emptive Process Scheduling\n- Non Pre Emptive Process Scheduling']"
66) What is Pre Emptive Process Scheduling in Operating Systems?,"['In this instance of Pre Emptive Process Scheduling, the OS allots the resources to a process for a predetermined period of time. The process transitions from running state to ready state or from waiting state to ready state during resource allocation. This switching happens because the CPU may assign other processes precedence and substitute the currently active process for the higher priority process.']"
67) What is Non Pre Emptive Process Scheduling in Operating Systems?,"['In this case of Non Pre Emptive Process Scheduling, the resource cannot be withdrawn from a process before the process has finished running. When a running process finishes and transitions to the waiting state, resources are switched.']"
