questions,answers
11. How to implement a stack using queue?,"['Answer:-  Stack can be implemented using 2 queues. To push an item in the stack, we first move all elements from the first queue to the second queue, then push new item into the first queue, and finally move all elements back to the first queue. This ensures that the new item lies at front of the queue and hence would be the first one to be removed. To pop an item from the stack, we simply return the front item from the first queue.']"
12. What is Brute Force algorithm?,"['Answer:-  Brute force means that you will go through all possible solutions extensively. For example, in a chess game, if you know you can win in two moves, the brute force will go through all possible combination of moves, without taking anything in consideration. So the little pawn in the back that cannot influence the outcome will still be considered.']"
13. What is the wrost case complexity of merge sort and quick sort?,['Answer:-  \nMerge sort : n*log(n)\nQuick sort : n^2']
14. What is shell sort?,"['Answer:-  Shell sort is a is a generalized version of insertion sort. It is a  highly efficient sorting algorithm. In shell sort we break the original list into a number of smaller sublists, each of which is sorted using an insertion sort.']"
15. Which data structures are used for BFS and DFS of a graph?,['Answer:-  Queue is used for BFS while Stack is used for DFS.']
16. What is a binary search tree?,['Answer:-  Binary search tree is a binary tree in which all nodes of left subtree are less than root node and all nodes of right subtree are more than root node.']
17. What is an AVL Tree?,['Answer:-  AVL tree is a self-balancing Binary Search Tree where the difference between heights of left and right subtrees cannot be more than one for all nodes.']
18. What is a spanning tree?,"['Answer:-  A spanning tree is a subset of a graph, which has all the vertices covered with minimum possible number of edges. It cannot be disconnected and does not have cycles.']"
19. What is hashing technique?,['Answer:- Hashing is a technique where search time is independent of the number of items or elements. In this technique a hash function is used to generate an address from a key. The hash function takes a key as input and returns the hash value of that key which is used as an address index in the array.']
20. what is heap data structure?,['Answer:-  Heap is a tree based data structure which satisfy the heap property. Heap can be of 2 type - \nMin Heap :  In this the value of the root node is less than or equal to either of its children. The same property must be recursively true for all sub-trees in that Binary Tree.\nMax Heap :  In this the value of the root node is greater than or equal to either of its children. The same property must be recursively true for all sub-trees in that Binary Tree.']
21. What is interpolation search technique?,"['Answer:- The Interpolation Search is an improvement over Binary Search for instances, where the values in a sorted array are uniformly distributed.Interpolation search may go to different locations according to the value of the key being searched.For example :-  If the value of the key is closer to the last element, interpolation search is likely to start search toward the end side.']"
22. What is tower of hanoi?,"['Answer:- The Tower of Hanoi is one of the most popular puzzle of the nineteenth century. It consists of three pegs mounted on a board together and consists of disks of different sizes. At first, all the disks are kept on one peg(say peg 1) with the largest peg at the bottom and the size of pegs gradually decreases to the top.The goal of this puzzle is to transfer all the disks from one peg to another in order of size, placing the largest one at the bottom. The rule of the puzzle is that we can move a disk from one peg to another as long as the disk is never placed on the top of the smaller one.']"
