questions,answers
13.  The largest element of an array index is called its,"['A. lower bound. \n    B. range. \n    C. upper bound. \n    D. All of these.', 'View Answer\nAns : C Explanation:None']"
"14. Each array declaration need not give, implicitly or explicitly, the information about","['A. the name of array \n    B. the data type of array \n    C. the first data from the set to be stored \n    D. the index set of the array', 'View Answer\nAns : C Explanation:None']"
15. The elements of an array are stored successively in memory cells because,"['A. by this way computer can keep track only the address of the first element and the addresses of other elements can be calculated \n    B. the architecture of computer memory does not allow arrays to store other than serially \n    C. both of above \n    D. none of above', 'View Answer\nAns : A Explanation:No Explanation.']"
"1. ___________ is a step-by-step procedure, which defines a set of instructions to be executed in a certain order to get the desired output.","['A. Code\n    B. Algorithm\n    C. Program\n    D. All of the above', 'View Answer\nAns : B Explanation: Algorithm is a step-by-step procedure, which defines a set of instructions to be executed in a certain order to get the desired output.']"
2. Which of the following are characteristics of an algorithm?,"['A. Algorithm should be clear\n    B. Algorithm should be unambiguous\n    C. Algorithms must terminate after a finite number of steps\n    D. All of the above', 'View Answer\nAns : D Explanation: All of the above are Characteristics of an Algorithm']"
3. Not all procedures can be called an algorithm,"['A. TRUE\n    B. FALSE\n    C. Can be true or false\n    D. Can not say', 'View Answer\nAns : A Explanation: True, Not all procedures can be called an algorithm.']"
4. An algorithm should have _______ well-defined inputs.,"['A. 0\n    B. 1\n    C. 0 or more\n    D. 1 or more', 'View Answer\nAns : C Explanation: An algorithm should have 0 or more well-defined inputs.']"
5. An algorithm should have __________ well-defined outputs,"['A. 0\n    B. 1\n    C. 0 or more\n    D. 1 or more', 'View Answer\nAns : D Explanation: An algorithm should have 1 or more well-defined outputs, and should match the desired output.']"
6. Which of the following is a theoretical analysis of an algorithm?,"['A. Posterior Analysis\n    B. Priori Analysis\n    C. Simple Analysis\n    D. Preori Analysis', 'View Answer\nAns : B Explanation: A Priori Analysis : This is a theoretical analysis of an algorithm. Efficiency of an algorithm is measured by assuming that all other factors, for example, processor speed, are constant and have no effect on the implementation.']"
7. _________ is measured by counting the number of key operations such as comparisons in the sorting algorithm.,"['A. Space\n    B. Lines\n    C. Time\n    D. None of the above', 'View Answer\nAns : C Explanation: Time is measured by counting the number of key operations such as comparisons in the sorting algorithm.']"
8. The complexity of an algorithm f(n) gives the running time and/or the storage space required by the algorithm in terms of n as the size of input data.,"['A. Yes\n    B. No\n    C. Can be yes or no\n    D. Can not say', 'View Answer\nAns : A Explanation: Yes, The complexity of an algorithm f(n) gives the running time and/or the storage space required by the algorithm in terms of n as the size of input data.']"
9. The space required by an algorithm is equal to the sum of ________ components.,"['A. 1\n    B. 2\n    C. 3\n    D. 4', 'View Answer\nAns : B Explanation: The space required by an algorithm is equal to the sum of the following two components : fixed part and variable part.']"
"10. Space complexity S(P) of any algorithm P is S(P) = C + SP(I), where C is the?","['A. fixed part\n    B. variable part\n    C. space complexity\n    D. None of the above', 'View Answer\nAns : A Explanation: Space complexity S(P) of any algorithm P is S(P) = C + SP(I), where C is the fixed part and S(I) is the variable part of the algorithm, which depends on instance characteristic I.']"
1. Which of the following statements for a simple graph is correct?,"['A. Every path is a trail\n    B. Every trail is a path\n    C. Every trail is a path as well as every path is a trail\n    D. None of the mentioned', 'View Answer\nAns : A Explanation: In a walk if the vertices are distinct it is called a path, whereas if the edges are distinct it is called a trail.']"
2. What is the maximum number of possible non zero values in an adjacency matrix of a simple graph with n vertices?,"['A. (n*(n-1))/2 \n    B. (n*(n+1))/2 \n    C. n*(n-1) \n    D. n*(n+1)', 'View Answer\nAns : C Explanation: Out of n*n possible values for a simple graph the diagonal values will always be zero.']"
3. Which of the following is an advantage of adjacency list representation over adjacency matrix representation of a graph?,"['A. In adjacency list representation, space is saved for sparse graphs.\n    B. DFS and BSF can be done in O(V + E) time for adjacency list representation. These operations take O(V^2) time in adjacency matrix representation. Here is V and E are number of vertices and edges respectively.\n    C. Adding a vertex in adjacency list representation is easier than adjacency matrix representation.\n    D. All of the above', 'View Answer\nAns : D Explanation: No explanation.']"
"4.A connected planar graph having 6 vertices, 7 edges contains _____________ regions.","['A. 15\n    B. 3\n    C. 1\n    D. 11', 'View Answer\nAns : B Explanation: By eulerâ€™s formula the relation between vertices(n), edges(q) and regions(r) is given by n-q+r=2.']"
"5.On which of the following statements does the time complexity of checking if an edge exists between two particular vertices is not, depends?","['A. Depends on the number of edges \n    B. Depends on the number of vertices \n    C. Is independent of both the number of edges and vertices \n    D. It depends on both the number of edges and vertices', 'View Answer\nAns : C Explanation:To check if there is an edge between to vertices i and j, it is enough to see if the value of A[i][j] is 1 or 0, here A is the adjacency matrix.']"
"6. The degree sequence of a simple graph is the sequence of the degrees of the nodes in the graph in decreasing order. Which of the following sequences can not be the degree sequence of any graph? 
       I. 7, 6, 5, 4, 4, 3, 2, 1
       II. 6, 6, 6, 6, 3, 3, 2, 2
       III. 7, 6, 6, 4, 4, 3, 2, 2
       IV. 8, 7, 7, 6, 4, 2, 1, 1","['A. I and II\n    B. III and IV\n    C. IV only\n    D. II and IV', 'View Answer\nAns : D Explanation: No explanation']"
7. What is the maximum number of edges in a bipartite graph having 10 vertices?,"['A. 24\n    B. 21\n    C. 25\n    D. 16', 'View Answer\nAns : C Explanation: Let one set have n vertices another set would contain 10-n vertices.\n    Total number of edges would be n*(10-n), differentiating with respect to n, would yield the answer.']"
"9.The most efficient algorithm for finding the number of connected components in an undirected graph on n vertices and m edges has time complexity. 
       (A)   \theta(n) 
       (B)   \theta(m) 
       (C)   \theta(m + n) 
       (D)   \theta(mn)","['A. A\n    B. B\n    C. C\n    D. D', ""View Answer\nAns : C Explanation: Connected components can be found in O(m + n) using Tarjan's algorithm. Once we have connected components, we can count them.""]"
"10. What is time complexity to check if a string(length S1) is a substring of another string(length S2) stored in a Directed Acyclic Word Graph, given S2 is greater than S1?","['A. O(S1) \n    B. O(S2) \n    C. O(S1+S2) \n    D. O(1)', 'View Answer\nAns : A Explanation:For each check of a word of length S1, we need to follow at most S1 edges.']"
11. What is the number of edges present in a complete graph having n vertices?,"['A. (n*(n+1))/2\n    B. (n*(n-1))/2\n    C. n\n    D. Information given is insufficient', 'View Answer\nAns : BExplanation: Number of ways in which every vertex can be connected to each other is nC2.']"
"13.   If a simple graph G, contains n vertices and m edges, the number of edges in the Graph G'(Complement of G) is ___________","['A. (n*n-n-2*m)/2\n    B. (n*n+n+2*m)/2\n    C. (n*n-n-2*m)/2\n    D. (n*n-n+2*m)/2', 'View Answer\nAns : A Explanation: The union of G and Gâ€™ would be a complete graph so, the number of edges in Gâ€™= number of edges in the complete form of G(nC2)-edges in G(m).']"
14.  Which of the following properties does a simple graph not hold?,"['A. Must be connected\n    B. Must be unweighted\n    C. Must have no loops or multiple edges\n    D. All of the mentioned', 'View Answer\nAns : A Explanation: A simple graph maybe connected or disconnected.']"
15. Which of the following is true?,"['A. A graph may contain no edges and many vertices\n    B. A graph may contain many edges and no vertices\n    C. A graph may contain no edges and no vertices\n    D. None of the mentioned', 'View Answer\nAns : B Explanation: A graph must contain at least one vertex.']"
"16.  For a given graph G having v vertices and e edges which is connected and has no cycles, which of the following statements is true?","['A. v=e\n    B. v = e+1\n    C. v + 1 = e\n    D. None of the mentioned', 'View Answer\nAns : BExplanation: For any connected graph with no cycles the equation holds true.']"
18.  A graph with all vertices having equal degree is known as a __________,"['A. Multi Graph\n    B. Regular Graph\n    C. Simple Graph\n    D. Complete Graph', 'View Answer\nAns : BExplanation: The given statement is the definition of regular graphs.Explanation: The given statement is the definition of regular graphs.']"
20. The time complexity to calculate the number of edges in a graph whose information in stored in form of an adjacency matrix is ____________,"['A. O(V)\n    B. O(E2)\n    C. O(E)\n    D. O(V2)', 'View Answer\nAns : DExplanation: As V entries are 0, a total of V2-V entries are to be examined.']"
1. Which of the following statements for a simple graph is correct?,"['A. Every path is a trail\nB. Every trail is a path\nC. Every trail is a path as well as every path is a trail\nD. None of the mentioned', 'View Answer\nAns : A Explanation: In a walk if the vertices are distinct it is called a path, whereas if the edges are distinct it is called a trail.']"
2. What is the maximum number of possible non zero values in an adjacency matrix of a simple graph with n vertices?,"['A. (n*(n-1))/2 \nB. (n*(n+1))/2 \nC. n*(n-1) \nD. n*(n+1)', 'View Answer\nAns : C Explanation: Out of n*n possible values for a simple graph the diagonal values will always be zero.']"
"4.A connected planar graph having 6 vertices, 7 edges contains _____________ regions.","['A. 15\nB. 3\nC. 1\nD. 11', 'View Answer\nAns : B Explanation: By eulerâ€™s formula the relation between vertices(n), edges(q) and regions(r) is given by n-q+r=2.']"
"5.On which of the following statements does the time complexity of checking if an edge exists between two particular vertices is not, depends?","['A. Depends on the number of edges \nB. Depends on the number of vertices \nC. Is independent of both the number of edges and vertices \nD. It depends on both the number of edges and vertices', 'View Answer\nAns : C Explanation:To check if there is an edge between to vertices i and j, it is enough to see if the value of A[i][j] is 1 or 0, here A is the adjacency matrix.']"
"6. The degree sequence of a simple graph is the sequence of the degrees of the nodes in the graph in decreasing order. Which of the following sequences can not be the degree sequence of any graph? 
   I. 7, 6, 5, 4, 4, 3, 2, 1
   II. 6, 6, 6, 6, 3, 3, 2, 2
   III. 7, 6, 6, 4, 4, 3, 2, 2
   IV. 8, 7, 7, 6, 4, 2, 1, 1","['A. I and II\nB. III and IV\nC. IV only\nD. II and IV', 'View Answer\nAns : D Explanation: No explanation']"
7. What is the maximum number of edges in a bipartite graph having 10 vertices?,"['A. 24\nB. 21\nC. 25\nD. 16', 'View Answer\nAns : C Explanation: Let one set have n vertices another set would contain 10-n vertices.\nTotal number of edges would be n*(10-n), differentiating with respect to n, would yield the answer.']"
"9.The most efficient algorithm for finding the number of connected components in an undirected graph on n vertices and m edges has time complexity. 
   (A)   \theta(n) 
   (B)   \theta(m) 
   (C)   \theta(m + n) 
   (D)   \theta(mn)","['A. A\nB. B\nC. C\nD. D', ""View Answer\nAns : C Explanation: Connected components can be found in O(m + n) using Tarjan's algorithm. Once we have connected components, we can count them.""]"
"10. What is time complexity to check if a string(length S1) is a substring of another string(length S2) stored in a Directed Acyclic Word Graph, given S2 is greater than S1?","['A. O(S1) \nB. O(S2) \nC. O(S1+S2) \nD. O(1)', 'View Answer\nAns : A Explanation:For each check of a word of length S1, we need to follow at most S1 edges.']"
11. What is the number of edges present in a complete graph having n vertices?,"['A. (n*(n+1))/2\nB. (n*(n-1))/2\nC. n\nD. Information given is insufficient', 'View Answer\nAns : BExplanation: Number of ways in which every vertex can be connected to each other is nC2.']"
"13.   If a simple graph G, contains n vertices and m edges, the number of edges in the Graph G'(Complement of G) is ___________","['A. (n*n-n-2*m)/2\nB. (n*n+n+2*m)/2\nC. (n*n-n-2*m)/2\nD. (n*n-n+2*m)/2', 'View Answer\nAns : A Explanation: The union of G and Gâ€™ would be a complete graph so, the number of edges in Gâ€™= number of edges in the complete form of G(nC2)-edges in G(m).']"
14.  Which of the following properties does a simple graph not hold?,"['A. Must be connected\nB. Must be unweighted\nC. Must have no loops or multiple edges\nD. All of the mentioned', 'View Answer\nAns : A Explanation: A simple graph maybe connected or disconnected.']"
15. Which of the following is true?,"['A. A graph may contain no edges and many vertices\nB. A graph may contain many edges and no vertices\nC. A graph may contain no edges and no vertices\nD. None of the mentioned', 'View Answer\nAns : B Explanation: A graph must contain at least one vertex.']"
"16.  For a given graph G having v vertices and e edges which is connected and has no cycles, which of the following statements is true?","['A. v=e\nB. v = e+1\nC. v + 1 = e\nD. None of the mentioned', 'View Answer\nAns : BExplanation: For any connected graph with no cycles the equation holds true.']"
18.  A graph with all vertices having equal degree is known as a __________,"['A. Multi Graph\nB. Regular Graph\nC. Simple Graph\nD. Complete Graph', 'View Answer\nAns : BExplanation: The given statement is the definition of regular graphs.Explanation: The given statement is the definition of regular graphs.']"
20. The time complexity to calculate the number of edges in a graph whose information in stored in form of an adjacency matrix is ____________,"['A. O(V)\nB. O(E2)\nC. O(E)\nD. O(V2)', 'View Answer\nAns : DExplanation: As V entries are 0, a total of V2-V entries are to be examined.']"
1. What is a hash table?,"['A. A structure that maps values to keys\nB. A structure that maps keys to values\nC. A structure used for storage\nD. A structure used to implement stack and queue', 'View Answer\nAns : B Explanation:  A hash table is used to implement associative arrays which has a key-value pair, so the has table maps keys to values.']"
2. How many different insertion sequences of the key values using the same hash function and linear probing will result in the hash table shown above?,"['A. 10\nB. 20\nC. 30\nD. 40', 'View Answer\nAns : C Explanation: In a valid insertion sequence, the elements 42, 23 and 34 must appear before 52 and 33, and 46 must appear before 33.\nTotal number of different sequences = 3! x 5 = 30\nIn the above expression, 3! is for elements 42, 23 and 34 as they can appear in any order, and 5 is for element 46 as it can appear at 5 different places.']"
3. If ' h ' is a hashing function and it is used to hash ' n ' keys into a table of size ' m '  where n <= m . What is the expected number of collisions involving a particular key ' x ' ?,"['A. less than 1.\nB. less than n.\nC. less than m.\nD. less than n / 2.', 'View Answer\nAns : A Explanation: No Explanation']"
4.Hashing technique which allocates fixed number of buckets is classified as,"['A. dynamic hashing\nB. static hashing\nC. external hashing\nD. internal hashing', 'View Answer\nAns : C Explanation:Hashing technique which allocates fixed number of buckets is classified as external hashing.']"
"5.If several elements are competing for the same bucket in the hash table, what is it called?","['A. Diffusion\nB. Replication\nC. Collision\nD. None of the mentioned', 'View Answer\nAns : C Explanation:If several elements are competing for the same bucket in the hash table, is it called Collision.']"
"6. Consider a hash table of size seven, with starting index zero, and a hash function (3x + 4)mod7. Assuming the hash table is initially empty, which of the following is the contents of the table when the sequence 1, 3, 8, 10 is inserted into the table using closed hashing? Note that â€˜_â€™ denotes an empty location in the table.","['A. 8, _, _, _, _, _, 10\nB. 1, 8, 10, _, _, _, 3\nC. 1, _, _, _, _, _,3\nD. 1, 10, 8, _, _, _, 3', 'View Answer\nAns : B Explanation:  hashing and probing. Let us put values 1, 3, 8, 10 in the hash of size 7. Initially, hash table is empty\n\xa0\xa0\xa0\xa0-    -    -   -   -   -   -\n\xa0\xa0\xa0\xa00    1   2   3   4   5   6\nThe value of function (3x + 4)mod 7 for 1 is 0, so let us put the value at 0\n\xa0\xa0\xa0\xa01    -    -   -   -   -   -\n\xa0\xa0\xa0\xa00    1   2   3   4   5   6\nThe value of function (3x + 4)mod 7 for 3 is 6, so let us put the value at 6\n\xa0\xa0\xa0\xa01    -    -   -   -   -   3\n\xa0\xa0\xa0\xa00    1   2   3   4   5   6\nThe value of function (3x + 4)mod 7 for 8 is 0, but 0 is already occupied, let us put the value(8) at next available space(1)\n\xa0\xa0\xa0\xa01    8    -   -   -   -   3\n\xa0\xa0\xa0\xa00    1   2   3   4   5   6\nThe value of function (3x + 4)mod 7 for 10 is 6, but 6 is already occupied, let us put the value(10) at next available space(2)\n\xa0\xa0\xa0\xa01    8   10   -   -   -   3\n\xa0\xa0\xa0\xa00    1   2    3   4   5   6']"
7. What is the advantage of using a dynamic set in direct addressing?,"['A. It saves time \nB. It saves space \nC. It saves both time and space \nD. None of the mentioned', 'View Answer\nAns : B Explanation: Using a dynamic set, the size of the array is restricted to the number of keys, hence saves space.']"
"8.  In linear hashing, formula used to calculate number of records if blocking factor, loading factor and file buckets are known is as","['A. r =l + bfr + N\nB. r =l - bfr - N\nC. r =l + bfr - N\nD. r =l * bfr * N', 'View Answer\nAns : D Explanation: No Explanation']"
9.  What is the load factor?,"['A. Average array size\nB. Average key size\nC. Average chain length\nD. None of the mentioned', 'View Answer\nAns : C Explanation:In simple chaining, load factor is the average number of elements stored in a chain, and is given by the ratio of number of elements stored to the number of slots in the array.\n.']"
"10. Given a hash table T with 25 slots that stores 2000 elements, the load factor Î± for T is __________","['A. 80\nB. 0.0125\nC. 8000\nD. 1.25', 'View Answer\nAns : A Explanation:load factor = (no. of elements) / (no. of table slots) = 2000/25 = 80.']"
11. What is direct addressing?,"['A. Distinct array position for every possible key\nB. Fewer array positions than keys\nC. Fewer keys than array positions\nD. None of the mentioned', 'View Answer\nAns : AExplanation: Direct addressing is possible only when we can afford to allocate an array that has one position for every possible key.']"
12.  What is the search complexity in direct addressing?,"['A. O(n)\nB. O(logn)\nC. O(nlogn)\nD. O(1)', 'View Answer\nAns : D Explanation: Since every key has a unique array position, searching takes a constant time.']"
13. What is a hash function?,"['A. A function has allocated memory to keys\nB. A function that computes the location of the key in the array\nC. A function that creates an array\nD. None of the mentioned', 'View Answer\nAns : BExplanation: In a hash table, there are fewer array positions than the keys, so the position of the key in the array has to be computed, this is done using the hash function.']"
14. What can be the techniques to avoid collision?,"['A. Make the hash function appear random\nB. Use the chaining method\nC. Use uniform hashing\nD. All of the mentioned', 'View Answer\nAns : D Explanation: Making the hash function random is not really a good choice, although it is considered one of the techniques to avoid collisions along with chaining and simple uniform hashing.']"
15.  What is simple uniform hashing?,"['A. Every element has equal probability of hashing into any of the slots\nB. A weighted probabilistic method is used to hash elements into the slots\nC. All of the mentioned\nD. None of the mentioned', 'View Answer\nAns : A Explanation: In simple uniform hashing, any given element is equally likely to hash into any of the slots available in the array.']"
"16. In simple uniform hashing, what is the search complexity?","['A. O(n)\nB. O(logn)\nC. O(nlogn)\nD. O(1)', 'View Answer\nAns : D Explanation: There are two cases, once when the search is successful and when it is unsuccessful, but in both the cases, the complexity is O(1+alpha) where 1 is to compute the hash function and alpha is the load factor.']"
"17.  In simple chaining, what data structure is appropriate?","['A. Singly linked list\nB. Doubly linked list\nC. Circular linked list\nD. Binary trees', 'View Answer\nAns : B Explanation: Deletion becomes easier with doubly linked list, hence it is appropriate.']"
18.Which of these are core interfaces in the collection framework. Select the one correct answer.,"['A. Tree \nB. Stack \nC. Queue \nD. Map, 'View Answer\nAns : D Explanation:None']"
1. Which one of the following is an application of Queue Data Structure?,"['A. When a resource is shared among multiple consumers.\nB. When data is transferred asynchronously (data not necessarily received at same rate as sent) between two processes\nC. Load Balancing\nD. All of the above', 'View Answer\nAns : D Explanation: No explanation.']"
"2. In linked list implementation of queue, if only front pointer is maintained, which of the following operation take worst case linear time?","['A. Insertion\nB. Deletion\nC. To empty a queue\nD. Both Insertion and To empty a queue', 'View Answer\nAns : D Explanation: Since front pointer is used for deletion, so worst time for the other two cases.']"
"4.How many stacks are needed to implement a queue. Consider the situation where no other data structure like arrays, linked list is available to you.","['A. 1\nB. 2\nC. 3\nD. 4', 'View Answer\nAns : B Explanation: A queue can be implemented using two stacks.']"
"5.In a Queue, if a user tries to remove an element from empty Queue it is called _________.","['A. Underflow\nB. Empty collection\nC. Overflow\nD. Garbage Collection', 'View Answer\nAns : A Explanation:In a Queue, if a user tries to remove an element from empty Queue it is called Underflow.']"
"6. If the elements ""A"", ""B"", ""C"" and ""D"" are placed in a queue and are deleted one at a time, in what order will they be removed?","['A.  ABCD \nB.  DCBA\nC.  DCAB\nD.  ABCD', 'View Answer\nAns : A Explanation: Because Queue follow FIFO rule.']"
"8. In case of insertion into a linked queue, a node borrowed from the __________ list is inserted in the queue.","['A. AVAIL\nB. FRONT\nC. REAR\nD. None of the mentioned', 'View Answer\nAns : A Explanation:  All the nodes are collected in AVAIL list.']"
